titles,content
宅家看比赛 无聊不存在,"在6日的2020东京奥运会女篮资格赛中国女篮对阵英国女篮的比赛中，中国女篮以86比76获胜。IC图
长沙晚报2月6日讯（全媒体记者赵紫名）非常时期不能出门，很多人直呼无聊。对于体育迷来说，无聊是不可能无聊的，我们为您整理了近期的重点体育赛事，中国女篮和女足冲击东京奥运，欧洲五大联赛好戏不断，大家就安心在家看比赛，做个快乐的“肥宅”吧。
主场变客场，女篮冲奥依旧没悬念？
北京时间2月6日到9日，2020年东京奥运会女篮资格赛全面开战。中国女篮与西班牙队、英国队和韩国队同在一个赛区，赛区前三名球队将获得东京奥运会入场券。5日，中国女篮也确定了参加东京奥运会资格赛的12人名单，这份名单为杨力维、李缘、王思雨、武桐桐、邵婷、李梦、黄思静、高颂、孙梦然、李月汝、韩旭、张茹。
因为受到新型冠状病毒感染的肺炎疫情影响，中国女篮这一赛区的比赛由原定的佛山举行改到了塞尔维亚贝尔格莱德举行，中国女篮从主场作战变成客场作战。虽然失去了主场优势，但不管是从赛制还是从中国女篮的对手来看，中国女篮冲奥的压力都不算大。
理论上，中国女篮只要在首战拿下实力相对较弱的英国队，完成进军东京奥运会的任务就没有太大的问题。万一输球，中国女篮出线的压力就要落在最后一场和韩国女篮的较量上，在2019年女篮亚洲杯的半决赛中，中国女篮曾经80比52大胜韩国女篮。
不过，在举办地变更之后，中国女篮面临的困难会更多。主教练许利民介绍，队伍训练和行程节奏全部被打乱，球队只能以更积极乐观的态度去迎接可能出现的困难。“我们要把最大潜能调动出来，去实现理想和目标。中国女篮和全国人民会肩并肩地走在一起，共同战胜疫情，共同闯过难关。”
隔离终解除，女足时间紧任务重
同样是主场变客场，女足面临的问题比女篮更多。2020年东京奥运会女足亚洲区预选赛B组赛事原定于2020年2月3日、6日、9日在中国武汉举行，但受到新型冠状病毒感染的肺炎疫情影响，比赛改到了南京。但由于疫情的严重性，亚足联经评估后决定比赛改在澳大利亚进行。
中国女足1月29日抵达澳大利亚昆士兰州首府布里斯班，原计划在此训练两天后前往比赛地悉尼。但由于中国女足1月22日前曾在武汉训练，澳大利亚政府要求中国女足全队包括球员和团队人员共32人在酒店隔离观察到2月5日，因此比赛时间只能推迟。
隔离解除后，B组的赛程也最终确定，中国女足将于2月7日、10日和13日在澳大利亚悉尼分别对阵泰国、中国台北和澳大利亚队。
主场变客场，训练无法系统进行，加上武汉籍国脚王霜无法随队出征澳大利亚，中国女足此次面临的困难不少。中国足协副主席孙雯表示，全队不管遇到什么样的困难都会去克服，力争拿出最好的状态。“中国女足一向有一个优良的传统，我们不惧怕任何困难，会全力以赴去拼搏。”
奥运会预赛亚洲区A组包括韩国、缅甸和越南女足。A、B两组前两名晋级附加赛。届时，每组的头名将与另一组的第二名交叉进行主客场比赛，获胜的两队晋级东京奥运会。
赛事预告
2月7日星期五
13:30女足奥预赛中国女足-泰国女足CCTV5
2月8日星期六
19:35女篮奥运会资格赛中国女篮-西班牙女篮CCTV5
20:30英超第26轮埃弗顿-水晶宫PP视频
22:00意甲第23轮佛罗伦萨-亚特兰大CCTV5+
2月9日星期日
01:30德甲第21轮勒沃库森-多特蒙德PP视频
03:45意甲第23轮维罗纳-尤文图斯PP视频
19:00西甲第23轮西班牙人-马洛卡
19:35女篮奥运会资格赛中国女篮-韩国女篮QQ直播
23:00西甲第23轮奥萨苏纳-皇家马德里
2月10日星期一
00:30英超第26轮曼城-西汉姆PP视频
01:00德甲第21轮拜仁慕尼黑-莱比锡红牛PP视频
01:00意甲第23轮帕尔马-拉齐奥PP视频
03:45意甲第23轮国际米兰-AC米兰PP视频
04:00法甲第24轮巴黎圣日耳曼-里昂PP视频
04:00西甲第23轮贝蒂斯-巴塞罗那
13:30女足奥预赛中国台北女足-中国女足CCTV5
2月13日星期四
16:30女足奥预赛澳大利亚女足-中国女足CCTV5"
中国队首战力克英国队,　　本报讯（海河传媒体育中心记者李蓓）北京时间昨晚，2020年东京奥运会女篮资格赛第三阶段比赛在塞尔维亚贝尔格莱德展开。结果，中国队没有受到主场变更的影响，以86比76力克英国队，取得开门红。　　东京奥运会女篮参赛队为12支，选拔方法和上届里约奥运会略有不同。在12支参赛队中，东道主日本队和2018年世锦赛冠军美国队已经占据两席，因此，通过预选赛取得门票的实际上只有10支队伍。另外，奥运会门票“发放”方式也不再按照大洲进行分配，而是分三个阶段进行预选赛。第三阶段是16选10，欧洲的6支队伍、亚太的4支队伍（含日本队）、美洲的4支队伍（含美国队）、非洲的2支队伍，这16支队伍分成4组，每组进行3天共6场单循环比赛，小组前3名共12支队伍出线。　　中国队所在组的比赛原本是在广东佛山进行，中国队与英国队、西班牙队、韩国队争抢3张奥运会门票。不过因为新型冠状病毒肺炎疫情的影响，在各方磋商后，中国佛山站的比赛改在塞尔维亚贝尔格莱德进行，中国队失去了主场优势。　　昨天和英国队的遭遇战，中国篮协主席姚明亲自督战。前两节比赛，英国队三分如雨，中国队上半场结束时落后3分。下半场，中国队展开攻势，多点开花，在第三节实现了逆转，并最终以86比76击败英国队，取得开门红。此役，中国队五人得分上双，韩旭得到全队最高的16分。2月8日，中国队将迎战西班牙队。　　上图 中国队队员邵婷（右一）在比赛中。
中国女足今战泰国队,　　本报讯（海河传媒体育中心记者王梓）今天下午，中国女足将在澳大利亚悉尼迎来2020年东京奥运会女足预选赛B组的首场比赛，对手是泰国队。虽然由于安全隔离的原因，中国女足的姑娘们在抵达澳大利亚后缺乏系统性训练，但全队有决心克服困难，力争取得“开门红”。　　当地时间昨天，中国女足结束隔离期，从布里斯班前往比赛地悉尼，在酒店内闷了数日，姑娘们终于重获“自由”。中午，中国女足抵达悉尼入住下榻酒店，随后火速赶往训练场进行了抵澳后的首次有球训练。由于缺少系统性备战，姑娘们的身体状态并不是最佳，但每个人训练投入度很高，都在抓紧一切时间为大战做准备。中国足协副主席孙雯出现在训练场边，为姑娘们加油鼓劲。　　按照最终赛程，中国女足今天下午迎来东京奥运会女足预选赛B组首战，对手是泰国队。虽然涉及中国女足的三场小组赛均延后四天进行，但泰国队与中国台北队的比赛却被提前至2月3日进行，最终泰国队以0比1不敌中国台北队。考虑到B组的东道主澳大利亚队实力较强，泰国队若是无法在与中国女足的比赛中取得胜利，将提前失去晋级希望。　　对于中国女足而言，此役同样不容有失，考虑到先易后难的赛程安排，姑娘们只有打好开局，才能为争夺小组出线权打下基础。不过眼下的中国女足面对诸多挑战，受新型冠状病毒肺炎疫情的影响，全队不仅没能以最强阵容出征，还打乱了教练组原有的备战计划。不过对此，姑娘们却始终保持乐观，她们将抵澳后的这段经历形容为“自我磨砺”，坚信会在逆境中越挫越勇。王珊珊说：“困难会激励我们变得更加强大，我们会打好首战，为东京奥运会女足预选赛比赛开个好头。”　　　　直播信息　　东京奥运会女足预选赛B组　　中国-泰国　　今日13时30分　　CCTV5现场直播
中国女足今日迎来奥预赛首战,　　本报讯（记者  申炜）结束隔离后，参加2020年东京奥运会女足亚洲区预选赛B组赛事的中国女足，昨天从布里斯班飞抵悉尼。　　此前，中国女足从上海飞到布里斯班后，按照当地卫生部门的要求，进行了一段时间的隔离。昨天，球队前往悉尼北郊新南威尔士州足协所在球场进行恢复训练。重新回到球场上训练，让姑娘们都相当兴奋，大家精神比较饱满，状态显示也比较良好。根据赛程，中国女足将在今天迎战小组第一个对手泰国队。　　对中国女足来说，这次奥预赛将遇到的困难也是显而易见的，王霜、姚伟、吕悦云三名武汉籍球员以及浙江籍球员李梦雯因疫情防控要求，无缘本次比赛，对于球队实力肯定会带来损失。
再胜一场即可进军东京（图）,　　本报讯（记者  苏娅辉）2020年东京奥运会女篮资格赛第三阶段昨天在贝尔格莱德揭开战幕，在上半场稍遇挑战的中国女篮在第三节全队开花奠定胜势，最终5人得分上双以86：76战胜英国女篮，收获小组赛开门红。只要在接下来的两场比赛中再取一胜，中国女篮就将锁定东京奥运会参赛资格。　　由于受到新型冠状病毒肺炎疫情影响，国际篮联将原本安排在中国佛山进行的该项赛事，移至塞尔维亚的贝尔格莱德。中国女篮与英国、西班牙、韩国进行单循环比赛，小组的前三名直接获得东京奥运会的入场券。中国队首场迎战英国队，比赛开始前为不幸遇难的科比·布莱恩特举行了一分钟的默哀仪式。　　中国队首发派出李缘、邵婷、李梦、孙梦然、李月汝，开局取得领先，但英国队接连命中4记三分，并在最后一攻中上篮得手，中国队首节以21：26落后。第二节开局，英国队将领先优势扩大至8分。此时，现场督战中国篮协主席姚明神色凝重，若有所思。中国队一路追赶，以43：46结束上半场。易边再战，李梦一上来就命中2分，韩旭空切上篮得手，中国队反超比分，并最终以65：59领先结束第三节。第四节中国队全面压制对手，最终以86：76锁定胜局。　　本场比赛，韩旭16分5篮板3盖帽，邵婷16分4助攻，李梦16分，王思雨14分，李缘13分3助攻。英国队法格宾莉26分5助攻4抢断，利迪汉姆19分6助攻5篮板，仙黛尔·汉迪11分。拿下这场胜利，中国队可谓是一只脚已迈入奥运会大门。接下来对阵西班牙队、韩国队的比赛中，只要赢下一场就将顺利过关。
女子50公里竞走无缘东京奥运会,　　本报讯（记者  苏娅辉）昨天，国际体育仲裁法庭驳回了七名女子50公里竞走运动员关于“希望将该项目列入2020年东京奥运会的正式比赛项目”的上诉。这意味着，作为中国军团的优势项目，将在东京奥运会上失去一个重要夺金点。　　此前，以2017年世锦赛冠军葡萄牙选手亨里克斯为首的七人团体上诉至国际体育仲裁法庭，但后者表示此事不在其管辖范围之内。女子50公里竞走是中国队的优势项目，在去年的多哈田径世锦赛，梁瑞以4小时23分26秒夺冠，李毛措获得亚军。去年3月在黄山举行的中国竞走大奖赛上，刘虹以3小时59分15秒打破世界纪录，同时保持着女子20公里和50公里竞走两项世界纪录。
奥运资格赛中国女篮迎开门红,"韩旭在场上高效抢分
东京奥运会女篮资格赛第三阶段比赛昨晚在塞尔维亚贝尔格莱德打响，中国女篮以86比76战胜英国女篮，获得了这次赛事的开门红。
东京奥运会女篮参赛队伍共有12支，除去东道主日本队和2018年世锦赛冠军美国队获得直通资格，剩下的10张门票要通过三个阶段的预选赛分配。第三阶段16支队伍分为4组进行单循环赛，获得各自小组前三名的12支队伍出线。
中国队与西班牙、英国和韩国队同在一个赛区，原本被安排在中国佛山进行，但受新型冠状病毒感染的肺炎疫情影响，中国队所在赛区的赛事被移至塞尔维亚贝尔格莱德举行。
面对首个对手英国女篮，中国队开场后迅速进入状态，以8比4领先；随后英国队加强防守，将分差缩小至2分；后半段李梦连得5分，中国队一度将比分扩大到15比10，但英国队又打出4个三分球将比分反超，首节中国女篮以21比26落后。
第二节英国女篮继续扩大领先优势，分差一度被拉大至8分；随后王思雨关键三分止血，韩旭连得4分，中国女篮回敬一波12比4后将比分追至36平；后半段英国队依然状态出色，半场结束后中国女篮以43比46落后。
下半场中国队凭借锋线优势打出一波得分潮，将比分反超至58：52，随后继续火力全开，第三节结束后中国队以65比59领先。
第四节中国队先后命中三分，不断扩大领先优势，尽管对手在后半段加强突破，但中国女篮顶住压力，以86比76锁定胜局。
中国女篮接下来将于2月8日晚，面对小组最强的对手西班牙女篮，9日晚对阵老对手韩国队。
西班牙女篮一直是世界篮坛的顶尖强队，尤其最近几年，她们先后获得2016年奥运会亚军、2018年女篮世界杯季军、2019年女篮欧洲杯冠军，最新的世界排名高居第3位。面对这样一支世界强队，中国女篮占据绝对下风，取胜的难度非常大。
不出意外，最后一个比赛日，中国女篮将以1胜1负的战绩迎战0胜2负的韩国女篮，对手唯有死拼中国女篮才有机会晋级奥运会。从双方近些年交锋记录看，中国女篮胜多负少，但在2019年奥运资格赛亚太区预赛中，中国队爆冷负于阵容齐整的韩国队。因此，未来几天先后面对西班牙队、韩国队，中国女篮不能掉以轻心。
综合中新社、新快报"
国乒改变行程取消国内集训,  新华社北京2月6日电 中国乒乓球协会6日消息，面对新型冠状病毒感染的肺炎疫情，结束国际乒联世界巡回赛德国公开赛的中国乒乓球队临时改变行程，提前抵达下一个巡回赛站点卡塔尔多哈展开备战。  德国公开赛当地时间2日在马格德堡落幕，中国队夺得5个项目中的4枚金牌。  为坚决贯彻落实国家体育总局加强对各运动队的封闭监控措施，保证运动队生活训练环境安全，确保东京奥运会备战不受影响，国乒在通盘考虑未来一段期间的训练以及东京奥运会前一系列重要比赛任务等因素后，决定将结束德国公开赛行程的这支队伍直接带往多哈。  据悉，国乒主力队伍已于3日抵达多哈展开小板块集训，并参加3月3日至8日在该地举行的卡塔尔公开赛，随后将前往韩国备战并参加釜山世界乒乓球锦标赛。原定于国内进行的备战世乒赛集训已确认取消。  另外国内赛事也被叫停，原定2月28日至3月1日在海南文昌举行的亚洲杯乒乓球赛延期举办，今年2月和3月由中国乒协主办的所有赛事和活动延期举行。“中国乒乓球协会、国家乒乓球队将严格按照体育总局备战东京奥运会的战略部署，结合疫情防控工作的实际需要，认真执行近期的国际赛事及釜山世锦赛备战参赛任务。后续安排将视疫情发展情况，适时予以公布。”中国乒协在公告中说。
奥运会“不会”因疫情取消,  新华社东京2月6日电 东京奥组委6日再次确认，尽管新型冠状病毒感染的肺炎疫情仍在持续，但将于7月24日开幕的东京奥运会“绝对不会取消”。  据共同社报道，东京奥组委同时也明确表示，会采取“一切可能的措施”应对疫情带来的威胁，这些措施主要集中在两个方面，一是防止奥组委内部出现感染，以免奥运会筹备工作受到妨碍；二是防止奥运会期间运动员受到感染，并且为可能出现的感染提出应对预案。  组委会没有透露具体的行动方案，但一位东京奥组委官员说，在观众集中的场馆，可能会进行比较容易操作的健康检查，譬如在体育场入口测量体温等。日本首相安倍晋三早些时候曾透露，日本政府将会与世界卫生组织密切合作，“以保证东京奥运会和残奥会的准备工作能够稳步推进，不会受到疫情暴发的影响”。  截至2月6日，日本国内新型冠状病毒感染者总数为45人。东京奥组委上周发表一份声明，表示“从来没有考虑过取消奥运会的事情”。  国际奥委会早些时候也发表声明说，国际奥委会已经与世界卫生组织和其他相关机构就新型冠状病毒感染的肺炎疫情进行了交流，并表达了成功举办东京奥运会的信心。“应对传染疾病的措施是东京奥组委安全举办奥运会的重要组成部分，东京奥组委将继续与监控疫情的相关机构密切合作，研究可能采取的应对措施。”国际奥委会在声明中说。
奥运资格赛中国女篮“开门红”,  新华社贝尔格莱德2月6日电 6日，在塞尔维亚首都贝尔格莱德举行的东京奥运会女篮资格赛B组首场比赛中，中国女篮以86∶76战胜英国队，获得“开门红”。  本场比赛中，中国队在前两节落后的情况下保持自己的节奏，在防守端持续给予对方压力的同时，进攻端保证命中率，最终获得这场胜利。中国队两分球命中率为66.7%，全队5人得分上双，其中邵婷、李梦、韩旭三人获得全队最高的16分，另外韩旭还有5个篮板入账。  在赛后举行的新闻发布会上，中国队主教练许利民积极评价女篮姑娘的表现。他说，本场比赛队员们打出了中国女篮的精神，能够取得这场开门红，是大家努力的结果。同时，许利民也指出了比赛中的不足，他说，上半场比赛时，对于英国队三分球的防守不足，导致开局不利，但经过中场调整以后，队员的执行力有所增加，再加上体能的保证，逐渐掌握了比赛主动权，迎来最后的胜利。
中國女足逆境求勝 爭佳績,"■中國女足在悉尼備戰奧運會預選賽。新華社
結束隔離抵悉尼今奧預賽戰泰國
中國女足昨結束在澳洲布里斯班的隔離觀察飛抵悉尼，並即日進行實地訓練，備戰今午1時30分展開的奧預賽首仗對泰國隊的比賽。■香港文匯報記者陳曉莉
女足奧預賽B組賽事原定本月在武漢舉行，但新型肺炎疫情突然爆發，令中國足協被迫將這一賽事的主辦權轉交予澳洲足協，令中國隊所處的B組比賽移至悉尼舉行。為此，中國女足於1月29日匆匆踏上南半球征程。據中國足協介紹，出征前，中國女足全隊接受新型冠狀病毒試劑盒檢測，結果均為陰性無異常。王霜、姚偉、呂悅雲三名武漢籍球員以及浙江籍球員李夢雯則受疫情防控影響，未能隨球隊出征。
武漢因疫情被迫棄主辦權
而抵達澳洲後，中國隊還需配合澳洲及當地政府的要求，在酒店內隔離觀察14天，直至本周三才正式解禁。據中新網消息，中國女足昨午抵達悉尼，稍事休息後就奔赴悉尼北郊新南威爾士州足協所在球場進行恢復訓練。在主教練賈秀全的帶領下，女足姑娘進行了熱身，隨後又進行了訓練。雖然賽前僅有一堂公開訓練課，但女足姑娘們精神飽滿，狀態良好。
賈秀全在接受內地傳媒訪問時表示：「雖然球隊在備戰奧預賽過程中經歷了很多波折，但目前隊員精神狀態很好，非常期待站上賽場。球隊也會通過訓練和比賽，努力調整，努力拚搏，爭取好成績。我們非常感謝澳洲足協、亞足協提供的各種幫助，以及中國駐當地使領館和當地華人的大力支持。」
中國足協副主席孫雯昨也出現在訓練現場，這位前女足名將希望利用自己的經驗，為中國女足奧運之旅保駕護航。
足協副主席孫雯現場督訓
中國女足新聞官郭瑞楓則介紹，中國女足全隊包括球員和團隊人員共32人，所有成員身體健康，雖然經歷了一些風波，但現在姑娘們的精神狀態很好，面對泰國隊，中國隊會努力準備比賽，力爭取得好成績。「我們每一場比賽都會百分之百地努力，立足自身，踢出自己的特點。」
根據賽程，中國女足將於今日迎戰小組第一個對手泰國隊。在此前的比賽中，泰國隊以0：1不敵中國台北。因此，對中國隊來說，迎戰泰國隊是機遇也是挑戰。而本月10日和13日，中國隊還將先後與中國台北和澳洲隊對決。奧預賽A、B兩組前兩名晉級4強，然後經主客場交叉淘汰賽決出晉級東京奧運會的兩支球隊。"
國乒取消內地集訓  直赴多哈,"參加完德國公開賽的中國乒隊，直赴多哈備戰。新華社
中國乒乓球協會昨日消息，面對新型冠狀病毒感染的肺炎疫情，結束國際乒聯世界巡迴賽德國公開賽的中國乒乓球隊臨時改變行程，提前抵達下一個巡迴賽站點卡塔爾多哈展開備戰。
德國公開賽當地時間2日在馬格德堡落幕，中國隊奪得5個項目中的4枚金牌。
為堅決貫徹落實國家體育總局加強對各運動隊的封閉監控措施，保證運動隊生活訓練環境安全，確保東京奧運會備戰不受影響，國乒在通盤考慮未來一段期間的訓練以及東京奧運會前一系列重要比賽任務等因素後，決定將結束德國公開賽行程的這支隊伍直接帶往多哈。
據悉，國乒主力隊伍已於本月3日抵達多哈展開集訓，並參加3月3日至8日在該地舉行的卡塔爾公開賽，隨後將前往韓國備戰並參加釜山世界乒乓球錦標賽。原定於內地進行的備戰世乒賽集訓已確認取消。
另外，原定2月28日至3月1日在海南文昌舉行的亞洲盃乒乓球賽延期舉辦，今年2月和3月由中國乒協主辦的所有賽事和活動延期舉行。■新華社"
奥运预选赛中国女篮取得开门红,    北京时间2月6日，2020年东京奥运会女篮资格赛正式打响，中国女篮首场比赛迎战英国女篮。邵婷前WNBA队友法格宾莉空砍26分，李梦、韩旭、邵婷各自贡献16分，5人得分上双的中国女篮最终以86比76战胜英国女篮，取得首场胜利。    由于受到新型冠状病毒感染的肺炎疫情影响，国际篮联将原本安排在中国佛山进行的该项赛事，移至塞尔维亚的贝尔格莱德。中国女篮与英国、西班牙、韩国进行单循环比赛，小组的前三名直接获得东京奥运会的入场券。    中国女篮：韩旭16分5篮板，李梦16分2篮板3助攻，邵婷16分4助攻，李缘13分2篮板3助攻，王思雨14分5篮板3助攻。    赛后，许利民指导携弟子韩旭参加发布会：这场我们打出了中国女篮的精神面貌，尤其是在中国遭遇疫情的情况下，这场比赛给全国人民带来了精神上的力量。这场比赛已经超出了体育比赛的意义，是在为祖国加油，祖国给我们带来了无穷的力量。    韩旭则用英文谈了本次比赛，她表示球队为备战已经训练了一个月，赛前准备十分忙碌。自己十分喜欢玩手机看电影，但因为训练十分辛苦，她这一个月都没有时间去做这些事了。这场比赛我们能拿下是因为我们刻苦的训练。　□据新浪体育
